code,system
D2y..00,readv2
D21yz00,readv2
D21y.00,readv2
D013.00,readv2
D21z.00,readv2
Dyu2400,readv2
D21..00,readv2
D013z00,readv2
D21yy00,readv2
D014100,readv2
D0...00,readv2
D0y..00,readv2
D01yz00,readv2
D01yy00,readv2
D01y.00,readv2
D0z..00,readv2
D014z00,readv2
D014000,readv2
D014.00,readv2
D01..00,readv2
D01z.00,readv2
D01..11,readv2
D012112,readv2
D01z000,readv2
D01z.11,readv2
D211.11,readv2
D21z.12,readv2
D210z00,readv2
D210200,readv2
D210.00,readv2
D210100,readv2
D212000,readv2
D2z..00,readv2
D21y300,readv2
1454.00,readv2
D213.00,readv2
Q456.00,readv2
D2...00,readv2
D21y200,readv2
D212.00,readv2
D210300,readv2
D21z.11,readv2
D210400,readv2
145..11,readv2
Q455.00,readv2
Q455000,readv2
D210000,readv2
D21y012,readv2
D21y011,readv2
D21y000,readv2
4235.00,readv2
4234.00,readv2
Dyu0.00,readv2
D53,readv2
D00y100,readv2
D00..12,readv2
D00..11,readv2
D21z.13,readv2
D012500,readv2
Qyu5C00,readv2
Dyu2200,readv2
D63,readv2
D214.00,readv2
D00z200,readv2
D215.00,readv2
D215000,readv2
D211.00,readv2
D62,readv2
D01y000,readv2
D01y100,readv2
53799.0,readv2
3981.0,readv2
59103.0,readv2
35160.0,readv2
24953.0,readv2
11961.0,readv2
58695.0,readv2
34934.0,readv2
797.0,readv2
10506.0,readv2
99494.0,readv2
4670.0,readv2
3942.0,readv2
5833.0,readv2
8054.0,readv2
57274.0,readv2
58136.0,readv2
882.0,readv2
539.0,readv2
28768.0,readv2
51489.0,readv2
739.0,readv2
99222.0,readv2
31248.0,readv2
56348.0,readv2
51169.0,readv2
1702.0,readv2
25876.0,readv2
26327.0,readv2
37539.0,readv2
71840.0,readv2
100576.0,readv2
40750.0,readv2
4475.0,readv2
4839.0,readv2
35749.0,readv2
7841.0,readv2
3265.0,readv2
92106.0,readv2
19574.0,readv2
43330.0,readv2
30637.0,readv2
62257.0,readv2
48145.0,readv2
64601.0,readv2
16052.0,readv2
2743.0,readv2
45929.0,readv2
71773.0,readv2
72276.0,readv2
47225.0,readv2
94387.0,readv2
31205.0,readv2
31550.0,readv2
15936.0,readv2
16929.0,readv2
41699.0,readv2
70732.0,readv2
25394.0,readv2
12176.0,readv2
104812.0,readv2
31040.0,readv2
2452.0,readv2
53422.0,readv2
56752.0,readv2
33278.0,readv2
70835.0,readv2
D64,readv2